ID,UF_NAME,UF_XML_ID,DEL
158,Vizit,6cd0319a-b4e4-11ec-9177-00155d640301,N
159,НОРА-М,a731c020-c6e6-11ec-9180-00155d640301,Y
160,"Hyperline (Проектное оборудование)",072bcdce-d11c-11ec-9180-00155d640301,Y
161,Strazh,4d464630-d299-11ec-9180-00155d640301,Y
162,Sonar,55f1287b-e0e8-11ec-9181-00155d640301,Y
163,Elsys,62c17c1b-e88d-11ec-9182-00155d640301,Y
164,Тахион,498e708a-f22e-11ec-9183-00155d640301,Y
165,Roxton,ed2029fa-fd3e-11ec-9184-00155d640301,N
166,"CamBox Шкафы",bdeeba04-fdcc-11ec-9184-00155d640301,Y
167,"Tiandy IP камеры видеонаблюдения",bdeeba0b-fdcc-11ec-9184-00155d640301,N
168,"Rubezh адресный R1",215bae9f-feb0-11ec-9184-00155d640301,Y
169,"Hik Non-CCTV",e814b78d-1dfb-11ed-9189-00155d640301,N
170,"Hik Non-CCTV (Project)",96d24f80-1e2a-11ed-9189-00155d640301,Y
171,"HiWatch Non-CCTV",ac58cb72-29e2-11ed-918b-00155d640301,N
172,"PerCo (Дорожная автоматика)",8782201b-3801-11ed-918b-00155d640301,N
173,Oxgard,56357e1a-724b-11ed-9193-00155d640301,Y
174,RusGuard,33852ea2-7a04-11ed-9193-00155d640301,N
175,Tantos,dcaa7cea-9266-11ed-9197-00155d640301,Y
176,"Falcon Eye Безопасность дома",a5e10f6d-a61d-11ed-919d-00155d640301,Y
177,Sigur,36dfa2cd-ddba-11ed-91a0-00155d640301,N
178,"Tiandy SPARK",efa391aa-fdfa-11ed-91a4-00155d640301,N
179,Hikvision,370c3476-24a2-11ee-91a5-00155d640301,N
180,ATIX,1c537c9a-2a10-11ee-91a6-00155d640301,Y
181,"Roxton (Аккумуляторы)",ced5e8b2-312b-11ee-91a7-00155d640301,N
182,"Hiwatch ECO",62ab8156-32bb-11ee-91a7-00155d640301,N
183,"Tiandy IP Видеорегистраторы",2b964a9a-4ca4-11ee-91a8-00155d640301,N
184,"ESMART Reader BLE",4d41c9e4-66a6-11ee-91a9-00155d640301,Y
185,"ESMART Reader USB",77e8638d-66ac-11ee-91a9-00155d640301,Y
186,"Tiandy SPARK AK",90850a30-b528-11ee-91c0-00155d640301,N
187,"Hik UPS",82a020f1-b9da-11ee-91c0-00155d640301,N
188,DNAKE,943f2a30-c9a9-11ee-91c0-00155d640301,N
189,"DoorHan Антивандальные шлагбаумы",d6bc28b6-e1cb-11ee-91c2-00155d640301,Y
